metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 16 de marzo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/F2F7A5E692A6C48E05258808001ABFD1/$FILE/asistencia-y-votaciones-OFICIALES-del-16-03-2022.pdf
dia,2022-03-16
hora,21:58
asunto,"PROYECTO DE LEY 417, QUE PROPONE LA PEY QUE DECLARA HEROÉ DE LA INDEPENDENCIA DEL PERÚ A PABLO BASILIO AUQUI HUAYTALLA."
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,61
