metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 31 de marzo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/01CDED070EFD1DB80525881C00748B53/$FILE/Asis_vot_OFICIAL_31-03-22.pdf
dia,2022-03-31
hora,10:56
asunto,"ADMISIÓN A DEBATE DE LA MOCIÓN 2151, QUE PROPONE CREAR LA COMISIÓN INVESTIGADORA MULTIPARTIDARIA, INTEGRADA POR 5 REPRESENTANTES PARA QUE UN PLAZO DE 120 DÍAS, SE INVESTIGUE DESDE EL AÑO 2018 AL PRESENTE, A LOS FUNCIONARIOS Y EXFUNCIONARIOS DEL PODER EJECUTIVO Y SUS RELACIONES CON LAS ACTIVIDADES DE LAS EMPRESAS CHINAS, PARA QUE SE DETERMINEN LAS PRESUNTAS IRREGULARIDADES Y LAS RESPONSABILIDADES A QUE HUBIERA LUGAR"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN "
quorum,61
