metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión Virtual del 16 de diciembre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/0E8FA912FD5064D8052587B30062EA0C/$FILE/Asis_vot_OFICIAL_16-12-2021.pdf
dia,2021-12-16
hora,18:17
asunto,"MOCIÓN 1412, QUE PROPONE OTORGAR FACULTADES DE COMISIÓN INVESTIGADORA A LA CAMISIÓN DE FISCALIZACIÓN, POR EL PLAZO DE 90 DÍAS HÁBILES, PARA INDAGAR Y AVERIGUAR EXHAUSTIVAMENTE SOBRE PRESUNTOS HECHOS ILÍCITOS DE VULNERACIÓN AL PRINCIPIO TE TRANSPARENCIA EN LA ACTUACIÓN Y DESEMPEÑO DEL CARGO DEL PRESIDENTE DE LA REPÚBLICA, DEL SEÑOR JOSÉ PEDRO CASTILLO TERRONES, Y DEL EX SECRETARIO GENERAL DEL DESPACHO PRESIDENCIA, SEÑOR BRUNO PACHECO CASTILLO."
presidente,"CAMONES SORIANO, LADY MERCEDES"
quorum,64
