metadato,valor
dia,2023-11-02
hora,21:35
asunto,"CUESTIÓN PREVIA PARA QUE RETORNE A LA COMISIÓN DE TRANSPORTES EL PROYECTO DE LEY 3416, QUE PROPONE ESTABLECER LA IMPLEMENTACION PROGRESIVA DE UN SISTEMA DE CONEXIÓN UNIVERSAL PARA DISPOSITIVOS ELECTRÓNICOS"
presidente,"SOTO REYES, ALEJANDRO"
quorum,61
