metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 16 de marzo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/F2F7A5E692A6C48E05258808001ABFD1/$FILE/asistencia-y-votaciones-OFICIALES-del-16-03-2022.pdf
dia,2022-03-16
hora,18:37
asunto,"PROYECTO DE RESOLUCIÓN LEGISLATIVA 235 (ACTUALIZADO), QUE APRUEBA EL ACUERDO DE SERVICIOS AÉREOS ENTRE LA REPÚBLICA DEL PERÚ Y EL GOBIERNO DE NUEVA ZELANDA, SUSCRITO EL 16 DE NOVIEMBRE DE 2018, EN LA CIUDAD DE PORT MORESBY, ESTADO INDEPENDIENTE DE PAPÚA NUEVA GUINEA. "
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,58
