metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 31 de marzo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/01CDED070EFD1DB80525881C00748B53/$FILE/Asis_vot_OFICIAL_31-03-22.pdf
dia,2022-03-31
hora,11:51
asunto,"TEXTO SUSTITUTORIO DE LAS MOCIONES 2151, 2104 Y 2128, QUE PROPONE CREAR LA COMISIÓN INVESTIGADORA MULTIPARTIDARIA, PARA QUE EN UN PLAZO DE 120 DÍAS ÚTILES SE INVESTIGUE DESDE EL AÑO 2018 AL PRESENTE, TODAS LAS LICITACIONES PÚBLICAS Y CONTRATOS DE OBRA CONVOCADAS POR EL MTC, PROVÍAS NACIONAL, PROVÍAS DESCENTRALIZADO, GOB. REGIONALES Y GOB. LOCALES, ENTRE OTROS; PARA QUE EL INFORME RESPECTIVO SE DETERMINEN LAS PRESUNTAS IRREGULARIDADES"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN "
quorum,60
