metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 01 de marzo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/903C8B9FF2A06005052587F9006F9A50/$FILE/Asis_vot_OFICIAL_01-03-22.pdf
dia,2022-03-01
hora,00:53
asunto,"ADMISIÓN A DEBATE DE LA MOCIÓN 2081, QUE PROPONE CONDENAR LA AGRESIÓN MILITAR COMETIDA POR LA FEDERACIÓN DE RUSIA EN CONTRA DE UCRANIA, EN GRAVE Y FLAGRANTE VIOLACIÓN DE LOS PRINCIPIOS GENERALES DEL DERECHO INTERNACIONAL CONTENIDOS EN LA CARTA DE LA ORGANIZACIÓN DE LAS NACIONES UNIDAS, ASÍ COMO DE LOS DERECHOS HUMANOS Y DE LAS NORMAS DEL DERECHO INTERNACIONAL HUMANITARIO"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN "
quorum,64
