metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 09 de setiembre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/A9400F86710FD94C052587510071B700/$FILE/Asis_vot_OFICIAL_09-09-21.pdf
dia,2021-09-09
hora,12:32
asunto,"ADMISIÓN A DEBATE DE LA MOCIÓN 120, QUE PROPONE REACTIVAR LA COMISIÓN ESPECIAL MULTIPARTIDARIA DE MONITOREO, FISCALIZACIÓN Y CONTROL DEL PROGRAMA HAMBRE CERO, CON LA FINALIDAD DE REALIZAR EL SEGUIMIENTO DE LA INTERVENCIÓN TEMPORAL HAMBRE CERO, CREADA POR ACUERDO DEL PLENO EL 11 DE MARZO DE 2021, PARA EL PERIODO 2021-2022"
presidente,"WONG PUJADA, ENRIQUE "
quorum,63
