metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del pleno del Congreso de la República
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/C7E242AA0224776B05258782005DC225/$FILE/Asis_vot_OFICIAL_21-10-21.pdf
dia,2021-10-21
hora,16:23
asunto,"CUESTION PREVIA PARA QUE SE SOMETA A VOTACIÓN LA AGENDA LEGISLATIVA 2021-2022, APROBADO POR EL CONSEJO DIRECTIVO EL 4 DE OCTUBRE DE 2021"
presidente,"WONG PUJADA, ENRIQUE"
quorum,65
