metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Asistencias y votaciones de la sesión del 11-11-2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/0C87DE0D6A919D300525878E006EB3F7/$FILE/Asis_vot_OFICIAL_11-11-2021.pdf
dia,2021-11-11
hora,12:37
asunto,"TEXTO SUSTITUTORIO DE LOS PROYECTOS DE LEY 30, 42, 127 Y 267, QUE PROPONE LA LEY QUE MODIFICA LA DECIMOCUARTA DISPOSICIÓN COMPLEMENTARIA TRANSITORIA DE LA LEY 30220, LEY UNIVERSITARIA, A FIN DE EXTENDER EL PLAZO PARA OBTENER EL BACHILLERATO AUTOMÁTICO HASTA EL AÑO ACADÉMICO 2023"
presidente,"WONG PUJADA, ENRIQUE"
quorum,62
