metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 28 de octubre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/DDC8C7746FFD9C1505258790006CEDEF/$FILE/Asis_vot_OFICIAL_28.10.21.pdf
dia,2021-10-28
hora,22:48
asunto,"RECONSIDERACIÓN DE LA VOTACIÓN DE LA UNDÉCIMA DISPOSICIÓN TRANSITORIA DEL ARTÍCULO 3 DEL TEXTO SUSTITUTORIO DEL PROYECTO DE LEY 296, QUE PROPONE LA LEY QUE MODIFICA LA LEY 26859, LEY ÓRGANICA DE ELECCIONES, Y LA LEY 28094, LEY DE ORGANIZACIONES POLÍTICA, CON LA FINALIDAD DE ASEGURAR EL DESARROLLO DE LAS ELECCIONES REGIONALES Y MUNICIPALES DEL AÑO 2022 EN EL MARCO DE LA LUCHA CONTRA LA COVID-19"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,63
