metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 21 de enero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/10890BE36A1C9711052587DB00706320/$FILE/Asis_vot_OFICIAL_21-01-22.pdf
dia,2022-01-21
hora,20:32
asunto,"SEGUNDA VOTACIÓN DEL TEXTO SUSTITURIO DE LOS PROYECTOS DE LEY 1161, 1162 Y 1163 (ACTUALIZADOS), QUE PROPONE LA LEY DE REFORMA CONSTITUCIONAL QUE FORTALECE LA LUCHA ANTICORRUPCIÓN EN EL MARCO DEL LEVANTAMIENTO DEL SECRETO BANCARIO Y LA RESERVA TRIBUTARIA"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,63
