metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 28 de abril de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/D513E2F2A01D5BDC0525883A0076BF02/$FILE/Asis_vot_OFICIAL_28-04-22.pdf
dia,2022-04-28
hora,18:28
asunto,"CUESTIÓN DE ORDEN MEDIANTE LA CUAL SE OBJETA LA VOTACIÓN SOBRE LA RATIFICACIÓN DEL ACUERDO DE LA JUNTA DE PORTAVOCES SOBRE LA EXONERACIÓN DEL PLAZO DE PUBLICACIÓN EN EL CONGRESO, EXONERACIÓN DEL DICTAMEN DE LA COMISIÓN DE CONSTITUCIÓN Y LA AMPLIACIÓN DE AGENDA, RESPECTO AL PROYECTO DE ELY 1756, APROBADA POR EL PLENO DEL CONGRESO"
presidente,"WONG PUJADA, ENRIQUE"
quorum,61
