metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 16 de setiembre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/60DF5F886BE1797405258760005E97EA/$FILE/Asis_vot_OFICIAL_16-09-21_II.pdf
dia,2021-09-16
hora,23:30
asunto,"ADMISIÓN DE LA MOCIÓN 027, QUE PROPONE CONFORMAR UNA COMISIÓN ESPECIAL INVESTIGADORA MULTIPARTIDARIA RESPECTO AL COBRO DEL CONECPTO DE 'CARGO FIJO' EN LOS RECIBOS DEL SERVICIO DE ELECTRICIDAD EN EL PERIODO DE MARZO, ABRIL, MAYO Y JUNIO DE 2020, DURANTE EL GOBIERNO DEL EXPRESIDENTE MARTIN VIZCARRA CORNEJO, Y OTORGARLE LAS FACULTADES DE CONTROL POLÍTICO, HASTA POR EL LAPSO DE CUARENTA Y CINCO (45) DÍAS HÁBILES"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,64
