metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,SESIÓN VIRTUAL DEL PLENO DEL CONGRESO DE LA REPÚBLICA
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/63496A82320A2BF40525874F00537F01/$FILE/Asis_vot_OFICIAL-02-09-21.pdf
dia,2021-09-02
hora,19:32
asunto,"MOCIÓN 076, QUE PROPONE CONFORMAR LA COMISIÓN ESPECIAL MULTIPARTIDARIA DE PROTECCIÓN A LA INFANCIA EN EL CONTEXTO DE LA EMERGENCIA SANITARIA, ENCARGADA DE REALIZAR LABORES DE MONITOREO DE POLÍTICAS PÚBLICAS, PROGRAMAS Y SERVICIOS; COORDINAR CON LAS COMISIONES MULTISECTORIALES; COLABORAR EN EL DESARROLLO DE
PROPUESTAS NORMATIVAS; Y FISCALIZAR EN LOS TRES NIVELES DE GOBIERNO, EN TORNO A LAS PROBLEMÁTICAS DE LA INFANCIA, LAS QUE SE HAN AGUDIZADO "
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,65
