metadato,valor
dia,2022-03-31
hora,10:56
asunto,"ADMISIÓN A DEBATE DE LA MOCIÓN 2151, QUE PROPONE CREAR LA COMISIÓN INVESTIGADORA MULTIPARTIDARIA, INTEGRADA POR 5 REPRESENTANTES PARA QUE UN PLAZO DE 120 DÍAS, SE INVESTIGUE DESDE EL AÑO 2018 AL PRESENTE, A LOS FUNCIONARIOS Y EXFUNCIONARIOS DEL PODER EJECUTIVO Y SUS RELACIONES CON LAS ACTIVIDADES DE LAS EMPRESAS CHINAS, PARA QUE SE DETERMINEN LAS PRESUNTAS IRREGULARIDADES Y LAS RESPONSABILIDADES A QUE HUBIERA LUGAR"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN "
quorum,61
