metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 7 de abril de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/C2160BA5634F875F05258829005CBD64/$FILE/Asis_vot_OFICIAL_07-04-2022.pdf
dia,2022-04-07
hora,13:24
asunto,"INSISTENCIA EN LA AUTÓGRAFA OBSERVADA POR EL SEÑOR PRESIDENTE DE LA REPÚBLICA RECAÍDA EN LOS PROYECTO DE LEY 5, 37, 48, 51, 55, 491, QUE PROPONE MODIFICAR LA LEY 29158, LEY ORGÁNICA DEL PODER EJECUTIVO, CON LA FINALIDAD DE ESTABLECER PROCEDIMIENTOS PARA EL NOMBRAMIENTO DE MINISTROS Y VICEMINISTROS Y ATRIBUCIONES DEL CONSEJO DE MINISTROS"
presidente,"CAMONES SORIANO, LADY MERCEDES"
quorum,60
