metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 21 de enero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/10890BE36A1C9711052587DB00706320/$FILE/Asis_vot_OFICIAL_21-01-22.pdf
dia,2022-01-21
hora,19:56
asunto,"EXONERACIÓN DE LA SEGUNDA VOTACIÓN DEL TEXTO SUSTITURIO DEL PROYECTO DE LEY 430 (ACTUALIZADO), QUE PROPONE LA LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA EJECUCIÓN DEL PROYECTO DE AMPLIACIÓN Y MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y DESAGÜE EN LA CIUDAD DE URUBAMBA, DISTRITO DE URUBAMBA, PROVINCIA DE URUBAMBA, CUSCO"
presidente,"CAMONES SORIANO, LADY MERCEDES"
quorum,63
