metadato,valor
dia,2022-05-05
hora,11:37
asunto,"EXONERACIÓN DE LA SEGUNDA VOTACIÓN DEL TEXTO SUSTITUTORIO DEL PROYECTO DE LEY 793, QUE PROPONE MODIFICAR LA LEY 30435, LEY DE CREACIÓN DEL SISTEMA NACIONAL DE FOCALIZACIÓN (SINAFO) PARA FORTALECER EL SINAFO, MEJORANDO EL PROCESO DE FOCALIZACIÓN, FORTALECIENDO LOS MECANISMOS DE CONTROL Y MAXIMIZANDO EL USO DE LOS RECURSOS ASIGNADOS EN EL CUMPLIMIENTO DE SUS COMPETENCIAS"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,64
