metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 09 de setiembre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/A9400F86710FD94C052587510071B700/$FILE/Asis_vot_OFICIAL_09-09-21.pdf
dia,2021-09-09
hora,11:53
asunto,"TEXTO SUSTITUTORIO DE LA MOCIÓN 295, QUE PROPONE DECLARAR DE IMPORTANCIA E INTERÉS NACIONAL LA CONMEMORACIÓN DEL DÍA DE LA FAMILIA PERUANA CONFORME A LOS ESTABLECIDO EN EL ART. 4 DE LA CONSTITUCIÓN; ASIMISMO, EXHORTAR A LOS DIVERSOS PODERES DEL ESTADO A LA PROMOCIÓN Y DEFENSA DE ESTA FUNDAMENTAL INSTITUCIÓN, ESTABLECIENDO POLÍTICAS PÚBLICAS QUE ASEGUREN EL BIENESTAR Y FORTALECIMIENTO DE LA FAMILIA"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,63
