metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 27 de abril de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/DB6D4B0678815E630525883900747995/$FILE/Asis_vot_OFICIAL_27-04-2022.pdf
dia,2022-04-27
hora,19:11
asunto,"PROYECTO DE RESOLUCIÓN LEGISLATIVA DEL CONGRESO QUE DECLARA HABER LUGAR A LA FORMACIÓN DE CAUSA CONTRA GUIDO CÉSAR AGUILA GRADOS, EN SU CONDICIÓN DE EXCONSEJERO NACIONAL DE LA MAGISTRATURA, POR LA PRESUNTA COMISIÓN DEL DELITO DE TRÁFICO DE INFLUENCIAS TIPIFICADO EN EL ART.400 DEL CÓDIGO PENAL; O ALTERNATIVAMENTE, POR EL DELITO DE PATROCINIO ILEGAL EN EL ARTÍCULO 385 DEL MISMO CÓDIGO SUSTANTIVO (DENUNCIA CONSTITUCIONAL 138)"
presidente,"CAMONES SORIANO, LADY MERCEDES"
quorum,60
