metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 02 de febrero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/04E0B1A815D8B9F5052587DD00668A3A/$FILE/Asis_vot_OFICIAL_2-02-22.pdf
dia,2022-02-02
hora,21:01
asunto,"PROYECTO DE RESOLUCIÓN LEGISLATIVA 252 (ACTUALIZADO), QUE APRUEBA EL 'PROTOCOLO QUE MODIFICA EL CONVENIO SOBRE LAS INFRACCIONES Y CIERTOS OTROS ACTOS COMETIDOS A BORDO DE LAS AERONAVES'"
presidente,"WONG PUJADA, ENRIQUE"
quorum,63
