metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 02 de febrero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/04E0B1A815D8B9F5052587DD00668A3A/$FILE/Asis_vot_OFICIAL_2-02-22.pdf
dia,2022-02-02
hora,11:58
asunto,"RECONSIDERACIÓN DE LA SEGUNDA VOTACIÓN DEL TEXTO SUSTITUTORIO CONSENSUADO DE LAS COMISIONES DE DESCENTRALIZACIÓN Y DE CONSTITUCIÓN, RECAÍDO EN LOS PROYECTOS DE LEY 5, 37, 48, 51, 55 Y 491, QUE PROPONE MODIFICAR LA LEY 29158, LEY ORGÁNICA DEL PODER EJECUTIVO, CON LA FINALIDAD DE ESTABLECER PROCEDIMIENTOS PARA EL NOMBRAMIENTO DE MINISTROS Y VICEMINISTROS, Y ATRIBUCIONES DEL CONSEJO DE MINISTROS"
presidente,"ALVA  PRIETO, MARÍA DEL CARMEN"
quorum,63
