metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión Virtual del 18 de noviembre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/95083BB58291E1A10525879700502873/$FILE/Asis_vot_OFICIAL_18-11-2021.pdf
dia,2021-11-18
hora,21:02
asunto,"NÓMINA DE INTEGRANTES DE LA COMISIÓN ESPECIAL INVESTIGADORA MULTIPARTIDARIA, RESPECTO AL COBRO DEL CONCEPTO DE 'CARGO FIJO' EN LOS RECIBOS DEL SERVICIO DE ELECTRICIDAD EN EL PERÍODO DE MARZO, ABRIL, MAYO Y JUNIO DE 2020 (MOCIÓN DE ORDEN DEL DÍA 27)"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,60
