validaciones,valor
total,OK
total_grupo_parlamentario,OK
si_grupo_parlamentario,OK
no_grupo_parlamentario,OK
abstenciones_grupo_parlamentario,OK
ausentes_grupo_parlamentario,OK
licencias_grupo_parlamentario,OK
sin_responder_grupo_parlamentario,OK
otros_grupo_parlamentario,OK
