metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2022-2023
legislatura,Primera Legislatura Ordinaria
sesion,Asistencias y votaciones de la sesión del 30-11-2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/CBF4F9BC24EBC4F80525891000510869/$FILE/Asis_vot_OFICIAL_30-11-2022.pdf
dia,2022-11-30
