metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Asistencia a la sesión del 25-11-2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/8E994F8F536746ED0525879C005CEF29/$FILE/Asis_vot_OFICIAL_25-11-2021.pdf
dia,2021-11-25
hora,22:14
asunto,"CUADRO NOMINATIVO  DE LA COMISIÓN ESPECIAL MULTIPARTIDARIA DEL BICENTENARIO DE LA INDEPENDENCIA DEL PERÚ, PARA EL PERÍODO PARLAMENTARIO (MOCIONES DEL ORDEN DEL DÍA 440 Y 500)"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,65
