metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 21 de enero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/10890BE36A1C9711052587DB00706320/$FILE/Asis_vot_OFICIAL_21-01-22.pdf
dia,2022-01-21
hora,11:44
asunto,"PEDIDO DE LA CONGRESISTA TORRES SALINAS, PRESIDENTA DE LA SUBCOMISIÓN DE ACUSACIONES CONSTITUCIONALES, PARA QUE CONTINÚE EL TRÁMITE DE LA ACUSACIÓN CONSTITUCIONAL CONTRA DANIEL ENRIQUE SALAVERRY VILLA, EN SU CONDICIÓN DE EXCONGRESISTA, ORIGINADA EN LAS DENUNCIAS CONSTITUCIONALES 135, 139 Y 143 (ANTES 294, 344 Y 375, RESPECTIVAMENTE) "
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,63
