metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 21 de enero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/10890BE36A1C9711052587DB00706320/$FILE/Asis_vot_OFICIAL_21-01-22.pdf
dia,2022-01-21
hora,21:28
asunto,"EXONERACIÓN DE LA SEGUNDA VOTACIÓN DEL TEXTO SUSTITURIO DEL PROYECTO DE LEY 161, QUE PROPONE LA LEY QUE DECLARA DE INTERÉS NACIONAL LA CONSTRUCCIÓN DE LA CIUDAD UNIVERSITARIA DE LA UNIVERSIDAD NACIONAL DEL CALLAO, EN EL DISTRITO DE VENTANILLA DE LA PROVINCIA CONSTITUCIONAL DEL CALLAO"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,63
