metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del pleno del Congreso de la República
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/C7E242AA0224776B05258782005DC225/$FILE/Asis_vot_OFICIAL_21-10-21.pdf
dia,2021-10-21
hora,19:55
asunto," MOCIÓN 44, QUE PROPONE CONFORMAR LA COMISIÓN ESPECIAL MULTIPARTIDARIA DE SEGURIDAD CIUDADANA, ENCARGADA DE FISCALIZAR, 
SUPERVISAR Y MONITOREAR LA FORMULACIÓN Y EL CUMPLIMIENTO DE LOS PROGRAMAS, PLANES, POLITICAS, PROYECTOS Y OTRAS ACCIONES OTORGANDAS POR EL PODER EJECUTIVO,
DESTINADAS A LA REDUCCIÓN Y ELIMINACIÓN DE LA INSEGURIDAD CIUDADANA, PREVENIR, REDUCIR Y TRABAJAR ES LA ERRADICACIÓN DE LA VIOLENCIA, ENTRE OTROS.."
presidente,"CAMONES SORIANO, LADY MERCEDES"
quorum,65
