metadato,valor
dia,2022-11-03
hora,18:26
asunto,"INSISTENCIA EN LA AUTÓGRAFA OBSERVADA POR EL SEÑOR PRESIDENTE DE LA REPÚBLICA RECAÍDA EN EL PROYECTO DE LEY 519, QUE PROPONE MODIFICAR EL ARTÍCULO 11 DEL DECRETO LEGISLATIVO 1213, DECRETO LEGISLATIVO QUE REGULA LOS SERVICIOS DE SEGURIDAD PRIVADA"
presidente,"WILLIAMS ZAPATA, JOSÉ DANIEL"
quorum,60
