metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 16 de marzo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/F2F7A5E692A6C48E05258808001ABFD1/$FILE/asistencia-y-votaciones-OFICIALES-del-16-03-2022.pdf
dia,2022-03-16
hora,17:22
asunto,"PROYECTO DE RESOLUCIÓN LEGISLATIVA 228 (ACTUALIZADO), QUE APRUEBA EL PROTOCOLO DE NAGOYA-KUALA LUMPUR SOBRE RESPONSABILIDAD Y COMPENSACIÓN SUPLEMENTARIO AL PROTOCOLO DE CARTAGENA  SOBRE LA SEGURIDAD DE BIOTECNOLOGÍA, ADOPTADO EN NAGOYA EL 15 DE OCTUBRE DE 2010 Y FIRMADO POR EL PERÚ EL 4 DE MAYO DE 2011. "
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,61
