metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 28 de abril de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/D513E2F2A01D5BDC0525883A0076BF02/$FILE/Asis_vot_OFICIAL_28-04-22.pdf
dia,2022-04-28
hora,16:51
asunto,"EXONERACIÓN DE LA SEGUNDA VOTACIÓN DEL TEXTO SUSTITUTORIO DEL PROYECTO DE LEY 533, 823 Y 1224, QUE PROPONE MODIFICAR LA LEY 28094, LEY DE ORGANIZACIONES POLÍTICAS, PARA ESTABLECER CRITERIOS DE PROPORCIONALIDAD EN LA APLICACIÓN DE SANCIONES A CANDIDATOS POR NO INFORMAR LOS GASTOS E INGRESOS EFECTUADOS DURANTE CAMPAÑA Y CONDUCTAS PROHIBIDAS EN PROPAGANDA ELECTORAL."
presidente,"WONG PUJADA, ENRIQUE"
quorum,61
