metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 2 de febrero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/04E0B1A815D8B9F5052587DD00668A3A/$FILE/Asis_vot_OFICIAL_2-02-22.pdf
dia,2022-02-02
hora,12:46
asunto,"TEXTO SUSTITUTORIO DE LOS PROYECTOS DE RESOLUCIONES LEGISLATIVAS 164 Y 486, RESPECTO DEL ARTÍCULO 68, INCISO D, EN CUANTO AL NÚMERO DE FIRMAS NECESARIAS PARA LA PRESENTACIÓN DE LA MOCIÓN DE CENSURA A LA MESA DIRECTIVA DEL CONGRESO"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,63
