metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión Virtual del 7 de diciembre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/E4DF0083146E504D052587AA0056DD8C/$FILE/Asis_vot_OFICIAL_07-12-21.pdf
dia,2021-12-07
hora,19:46
asunto,"ADMISIÓN DE LA MOCIÓN DE ORDEN DEL DÍA 1222, QUE PROPONE DECLARAR LA PERMANENTE INCAPACIDAD MORAL DEL PRESIDENTE DE LA REPÚBLICA, CIUDADANO JOSÉ PEDRO CASTILLO TERRONES, SEGÚN LO ESTABLECIDO EN EL INCISO 2) DEL ART. 113 DE LA CONSTITUCIÓN POLÍTICA DEL PERÚ Y, DECLARAR LA VACANCIA DE LA PRESIDENCIA DE LA REPÚBLICA."
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,66
