metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del pleno del Congreso de la República
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/1BF7AD99878BDBB70525873E00044D38/$FILE/Asis_vot_OFICIAL_12_08_21.pdf
dia,2021-08-12
hora,19:15
asunto,"ADMISIÓN A DEBATE LA MOCIÓN 017, QUE PROPONE REACTIVAR LA COMISIÓN ESPECIAL ENCARGADA DE LA ELECCIÓN DE LOS MIEMBROS DEL TRIBUNAL CONSTITUCIONAL CUYO MANDATO HA EXPIRADO, CONFORME A LO ESTABLECIDO EN EL ART. 201  DE LA CONSTITUCIÓN POLÍTICA Y EL ART. 6 DEL REGLAMENTO DEL CONGRESO. EL PROCESO DE ELECCIÓN DE MAGISTRADOS DEL TRIBUNAL CONSTITUCIONAL SE DEBE DESARROLLAR CONFORME A LOS PRINCIPIOS DE MERITOCRACIA Y TRANSPARENCIA"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,64
