metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 1 de febrero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/EF799D313620C96C052587DD00027894/$FILE/Asis_vot_OFICIAL_1-02-22.pdf
dia,2022-02-01
hora,16:51
asunto,"CUESTIÒN PREVIA PARA  QUE RETORNEN A LA COMISIÒN DE EDUCACIÒN Y PASEN A LA COMISIÒN DE CONSTITUCIÒN LOS PROYECTOS DE LEY 697, 862 Y 908. QUE PROPONEN LA LEY QUE RESTABLECE LA AUTONOMÌA Y LA INSTITUCIONALIDAD DE LAS UNIVERSIDADES PERUANAS   "
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,64
