metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 17 de diciembre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/49B6BC3EA180A988052587B3006312A8/$FILE/Asis_vot_OFICIAL_17-12-21.pdf
dia,2021-12-17
hora,20:52
asunto,"PROYECTO DE RESOLUCIÓN LEGISLATIVA 240 (ACTUALIZADO), QUE APRUEBA EL PROTOCOLO MODIFICATORIO AL ACUERDO ENTRE EL GOBIERNO DE LA REPÚBLICA DEL PERÚ Y EL GOBIERNO DE LA REPÚBLICA DE BOLIVIA SOBRE TRANSFERENCIA DE PERSONAS CONDENADAS Y MENORES BAJO TRATAMIENTO ESPECIAL, SUSCRITO EL 3 DE SETIEMBRE DE 2018 EN COBIJA, ESTADO PLURINACIONAL DE BOLIVIA"
presidente,"WONG PUJADA, ENRIQUE"
quorum,61
