metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión Virtual del 18 de noviembre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/95083BB58291E1A10525879700502873/$FILE/Asis_vot_OFICIAL_18-11-2021.pdf
dia,2021-11-18
hora,19:36
asunto,"CUESTIÓN PREVIA PARA QUE RETORNE LA COMISIÓN AGRARIA Y PASE A LA COMISIÓN DE CIENCIA EL PROYECTO DE LEY 427, QUE PROPONE LA LEY QUE DECLARA DE INTERÉS NACIONAL Y PREFERENCIA SOCIAL Y ECONÓMICA LA CREACIÓN DEL INSTITUTO NACIONAL DEL CAFÉ CON SEDE EN LA PROVINCIA CAFETERA Y FRONTERIZA DE SAN IGNACIO, REGIÓN CAJAMARCA."
presidente,"WONG PUJADA, ENRIQUE"
quorum,60
