metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 7 de abril de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/C2160BA5634F875F05258829005CBD64/$FILE/Asis_vot_OFICIAL_07-04-2022.pdf
dia,2022-04-07
hora,23:48
asunto,"MOCIÓN 2323, QUE PROPONE EXHORTAR AL SEÑOR JOSÉ PEDRO CASTILLO TERRONES A PRESENTAR SU RENUNCIA IRREVOCABLE AL HONORABLE CARGO DE PRESIDENTE CONSTITUCIONAL DE LA REPÚBLICA ANTE EL CONGRESO DE LA REPÚBLICA DE FORMA INMEDIATA POR EL BIEN MORAL DE LA NACIÓN"
presidente,"WONG PUJADA, ENRIQUE"
quorum,60
