metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 7 de abril de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/C2160BA5634F875F05258829005CBD64/$FILE/Asis_vot_OFICIAL_07-04-2022.pdf
dia,2022-04-07
hora,21:06
asunto,"EXONERACIÓN DE LA SEGUNDA VOTACIÓN DEL NUEVO TEXTO SUSTITUTORIO DE LOS PROYECTOS DE LEY 1629, 1630, 1645, 1650 Y 1670, QUE PROPONE EXONERAR DEL IMPUESTO GENERAL A LAS VENTAS A LOS ALIMENTOS DE LA CANASTA BÁSICA FAMILIAR"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,60
