metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 31 de enero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/CE4D3E61BBBD3DAA052587DE00741E21/$FILE/Asis_vot_OFICIAL_31-01-22.pdf
dia,2022-01-31
hora,12:29
asunto,"ADMISIÓN A DEBATE DE LA MOCIÓN 1859, QUE PROPONE INVITAR AL MINISTRO DE RELACIONES EXTERIORES, CANCILLER ÓSCAR JOSÉ RICARDO MAÚRTUA DE ROMAÑA, PARA QUE INFORME SI ES UNA POLÍTICA DE ESTADO DEL ACTUAL GOBIERNO EL UN REFERÉNDUM PARA CEDER TERRITORIO MARÍTIMO AL ESTADO BOLIVIANO; ENTRE OTROS."
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,65
