metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 18 de noviembre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/95083BB58291E1A10525879700502873/$FILE/Asis_vot_OFICIAL_18-11-2021.pdf
dia,2021-11-18
hora,11:17
asunto,"TEXTO SUSTITUTORIO DEL PROYECTO DE LEY 331, QUE PROPONE LA LEY QUE MODIFICA LOS ARTÍCULOS 23 Y 33-B DE LA LEY 26979, LEY DE PROCEDIMIENTO DE EJECUCIÓN COACTIVA, RESPECTO A LA REVISIÓN JUDICIAL DEL PROCEDIMIENTO DE EJECUCIÓN COACTIVA, Y EL ARTÍCULO 24 DE LA LEY 27584, LEY QUE REGULA EL PROCESO CONTENCIOSO ADMINISTRATIVO"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,60
