metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 18 de noviembre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/95083BB58291E1A10525879700502873/$FILE/Asis_vot_OFICIAL_18-11-2021.pdf
dia,2021-11-18
hora,10:58
asunto,"EXONERACIÓN DE LA SEGUNDA VOTACIÓN DEL TEXTO SUSTITUTORIO DE LOS PROYECTOS DE LEY 103 Y 104, QUE PROPONE LA LEY QUE MODIFICA LA LEY 30483, LEY DE LA CARRERA FISCAL, A FIN DE FORTALECER LAS COMPETENCIAS SANCIONADORAS DEL MINISTERIOS PÚBLICO"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,60
