metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Asistencia a la sesión virtual del 16 de setiembre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/8A39974FBEA89E8105258760005E7F6E/$FILE/Asis_vot_OFICIAL_16-09-21.pdf
dia,2021-09-16
hora,18:36
asunto,"CUESTIÓN PREVIA PARA QUE RETORNE A LA COMISIÓN DE CONSTITUCIÓN Y REGLAMENTO EL DICTAMEN RECAÍDO EN LOS PROYECTOS DE LEY 3, 6, 19 Y 36, QUE PROPONE LA LEY QUE INTERPRETA LA CUESTIÓN DE CONFIANZA REGULADA EN EL ÚLTIMO PÁRRAFO DEL ARTÍCULO 132 Y EN EL ARTÍCULO 133 DE LA CONSTITUCIÓN POLÍTICA DEL PERÚ"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,63
