metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 12 de enero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/F7C734009F8665A7052587D0005236BC/$FILE/Asis_vot_OFICIAL_12-01-2022_2.pdf
dia,2022-01-12
hora,20:12
asunto,"TEXTO SUSTITUTORIO DEL PROYECTO DE LEY 710, QUE PROPONE LA LEY QUE DECLARA DE PREFERENTE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA FORMULACIÓN Y EJECUCIÓN DEL PROYECTO "CONSTRUCCIÓN DEL PROYECTO HIDROENERGÉTICO LAGUNA ANGEL CRUZ DE AIJA" EN LA PROVINCIA DE AIJA, DEPARTAMENTO DE ANCASH"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,64
