metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 13 de enero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/1301E580ECD7F2D8052587D000541778/$FILE/Asis_vot_OFICIAL_13-01-2022_3.pdf
dia,2022-01-13
hora,23:04
asunto,"TEXTO SUSTITUTORIO DEL PROYECTO DE LEY 297, QUE PROPONE LA LEY QUE MODIFICA EL ARTÍCULO 6 DE LA LEY 26221, LEY GENERAL DE HIDROCARBUROS Y DIVERSOS ARTÍCULOS DE LA LEY 26225, LEY DE ORGANIZACIÓN Y FUNCIONES DE PERUPETRO S.A."
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,64
