metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 16 de marzo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/F2F7A5E692A6C48E05258808001ABFD1/$FILE/asistencia-y-votaciones-OFICIALES-del-16-03-2022.pdf
dia,2022-03-16
hora,18:10
asunto,"PROYECTO DE RESOLUCIÓN LEGISLATIVA 244 (ACTUALIZADO), SE PROPONE APROBAR EL ARREGLO DE NIZA RELATIVO  A LA CLASIFICACIÓN INTERNACIONAL DE PRODUCTOS Y SERVICIOS PARA EL REGISTRO DE LAS MARCAS, ADOPTADO EN NIZA EL 15  DE JUNIO DE 1957."
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,58
