metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del pleno del Congreso de la República
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/1BF7AD99878BDBB70525873E00044D38/$FILE/Asis_vot_OFICIAL_12_08_21.pdf
dia,2021-08-12
hora,12:33
asunto,"MOCIÓN 005, QUE PROPONE CONFORMAR UNA COMISIÓN INVESTIGADORA MULTIPARTIDARIA, POR UN PLAZO DE 120 DÍAS HÁBILES, ENCARGADA DE INVESTIGAR EL ATENTADO EN VIZCATÁN DEL ENE EL 23 DE MAYO DE 2021, A FIN DE ESCLARECER LOS HECHOS Y DETERMINAR LAS RESPONSABILIDADES QUE CORRESPONDAN. "
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,65
