metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 1 de febrero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/EF799D313620C96C052587DD00027894/$FILE/Asis_vot_OFICIAL_1-02-22.pdf
dia,2022-02-01
hora,18:31
asunto,"EXONERACIÓN DE LA SEGUNDA VOTACIÓN DEL TEXTO SUSTITUTORIO DE LOS PROYECTOS DE LEY 90, 190, 287, 345, 375, 376, 377, 378, 379, 396, 450, 451, 452, 460, 513, 520, 591, 685, 748, 749, 750, 752, 753, 754, 764 Y 846 QUE PROPONE LA LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DE DISTRITOS EN LOS DEPARTAMENTOS DE PUNO, MOQUEGUA, LA LIBERTAD, SAN MARTÍN, CUSCO, AYACUCHO, CAJAMARCA, HUÁNUCO, LORETO Y AMAZONAS"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,64
