metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Asistencias y votación de la sesión del 27-08-2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/C0251A62DAFA4B51052587480056EC8A/$FILE/Asis-vot-OFICIAL-27-08-21.pdf
dia,2021-08-27
hora,14:13
asunto,"CUESTIÓN DE CONFIANZA PLANTADA POR EL PRESIDENTE DEL CONSEJO DE MINISTROS, SEÑOR GUIDO BELLIDO UGARTE"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,65
