metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Asistencia a la sesión solemne del 09-12-2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/8AAB5B9E982B410A052587AC00519371/$FILE/Asis_vot_PROVISIONAL_09-12-21.pdf
dia,2021-12-09
hora,12:30
asunto,"EXONERACIÓN DE LA SEGUNDA VOTACIÓN DEL NUEVO TEXTO SUSTITUTORIO DEL PROYECTO DE LEY 114, QUE PROPONE LA LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA REHABILITACIÓN DE LA VÍA FÉRRERA HIDROELÉTRICA DE MACHUPICCHU A QUILLABAMBA EN EL DEPARTAMIENTO DEL CUSCO"
presidente,"CAMONES SORIANO, LADY MERCEDES"
quorum,65
