metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 28 de octubre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/DDC8C7746FFD9C1505258790006CEDEF/$FILE/Asis_vot_OFICIAL_28.10.21.pdf
dia,2021-10-28
hora,17:22
asunto,"TEXTO SUBSTITUTORIO DE LA MOCIÓN 81, QUE PROPONE CONFORMAR UNA COMISIÓN ESPECIAL MULTIPARTIDARIA, INTEGRADA OR LOS MIEMBROS DE LA JUNTA DE PORTAVOCES DEL CONGRESO DE LA REPÚBLICA, ENCARGA DE ELEGIR Y PROPONER AL PLENO DEL CONGRESO DE LA REPÚBLICA A LOS 3 INTEGRANTES DEL DIRECTORIO DEL BCR."
presidente,ALVA PRIETO, MARÍA DEL CARMEN
quorum,62
