metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión Virtual del 16 de diciembre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/0E8FA912FD5064D8052587B30062EA0C/$FILE/Asis_vot_OFICIAL_16-12-2021.pdf
dia,2021-12-16
hora,14:59
asunto,"EXONERACIÓN DE LA SEGUNDA VOTACIÓN DEL TEXTO SUSTITORIO DEL PROYECTO DE LEY 644, QUE PROPONE LA LEY QUE FORTALECE EL PROCESO DE APROBACIÓN DE LEYES DE REFORMA CONSTITUCIONAL REGULADO EN LOS ARTÍCULOS 40 Y 44 DE LA LEY 26300, LEY DE LOS DERECHOS DE PARTICIPACIÓN Y CONTROL CIUDADANO."
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,64
